An,Municipiul Chisinau,Nord,Centru,Sud
Y2008,753666.4,37040.3,29582.9,9777.5
Y2009,910284.6,34289.4,22048.2,10468.2
Y2010,789274.5,35480.7,20962.5,9983.4
Y2011,737204,43880,30441.2,10822.4
Y2012,850941.4,59889,30489.5,12711.9
Y2013,1219300.2,55838.4,37053.4,16290.3
Y2014,1158326.9,70024.3,45809.1,23360.9
Y2015,1290898.5,71711.4,44099.7,22512.1
Y2016,1381770.7,84157.5,54940.9,22853
Y2017,1542705.7,99700.6,65007.8,24874.8
Y2018,1571707.6,106988.6,69499.5,22856.6
Y2019,2283748,159021.8,95071.6,24141.5
